First Name,Last Name,SIN,Gender,Sector,Age ,Admission,Profession,Status,DOD,Donor?,Chaplin Service,Meal Pref,ROOM,DNR?,Attnd. Phys.
Ash,Hatherley,236-32-7907,Male,Sector 18,53,2018-03-12,Quality Control Specialist,DECEASED,2018-03-12,FALSE,Muslim,NA,A39,FALSE,Smith
Audi,McDonagh,828-47-2121,Female,Sector 18,5,2018-03-12,NA,DECEASED,2018-03-12,FALSE,Protestant,CHCKN,A48,FALSE,Ouyuki
Daune,Koppelmann,450-56-9768,Female,Sector 18,93,2018-03-12,General Manager,DECEASED,2018-03-15,FALSE,Protestant,CHCKN,A19,FALSE,Pan
Rozina,Ponde,877-53-1590,Female,Sector 18,0,2018-03-12,NA,DECEASED,2018-03-12,FALSE,Other,VEG,C10,TRUE,Lee
Donn,Houseley,838-55-2142,Male,Sector 19,42,2018-03-09,Human Resources Manager,DECEASED,2018-03-10,FALSE,Other,VEG,C7,FALSE,Sanders
Bryanty,Englishby,878-88-4301,Male,Sector 19,68,2018-03-09,Actuary,DECEASED,2018-03-09,FALSE,Muslim,NA,C47,FALSE,Sanders
Ronnie,McGarry,302-76-4068,Male,Sector 19,48,2018-03-09,VP Accounting,ALIVE,NA,FALSE,Other,VEG,D17,FALSE,Pan
Nathanael,Stocking,323-06-3362,Male,Sector 19,87,2018-03-09,Paralegal,ALIVE,NA,FALSE,Protestant,NA,D39,FALSE,Lee
Tailor,D'Andrea,265-23-5306,Male,Sector 19,54,2018-03-09,Human Resources Assistant III,ALIVE,NA,FALSE,Muslim,CHCKN,C27,FALSE,White
Hart,Cudiff,276-65-4520,Male,Sector 19,65,2018-03-09,Human Resources Assistant IV,DECEASED,2018-03-10,FALSE,Catholic,NA,A25,FALSE,Pan
Penny,Basford,782-09-8275,Male,Sector 19,88,2018-03-10,Staff Scientist,ALIVE,NA,FALSE,Muslim,VEG,B21,FALSE,Ouyuki
Sigismundo,Jaffray,786-45-6106,Male,Sector 19,73,2018-03-10,Software Consultant,ALIVE,NA,FALSE,Jewish,VEG,A27,FALSE,Sanders
Wendye,Cruxton,833-87-4318,Female,Sector 19,71,2018-03-10,Account Executive,DECEASED,2018-03-11,FALSE,Catholic,CHCKN,D23,FALSE,Smith
Michel,Gehring,803-43-1649,Female,Sector 19,53,2018-03-10,Administrative Assistant I,ALIVE,NA,FALSE,NA,VEG,B37,FALSE,White
Donny,Camilleri,697-69-4034,Male,Sector 19,37,2018-03-10,Quality Control Specialist,DECEASED,2018-03-11,FALSE,Muslim,CHCKN,B13,FALSE,Lee
Danielle,Poag,862-37-0933,Female,Sector 19,1,2018-03-10,NA,DECEASED,2018-03-11,FALSE,NA,CHCKN,B23,FALSE,Smith
Holt,Seage,350-04-6751,Male,Sector 19,46,2018-03-10,Research Associate,DECEASED,2018-03-13,FALSE,Catholic,VEG,B48,FALSE,Sanders
Rheba,O'Carney,246-61-6030,Female,Sector 19,2,2018-03-11,NA,DECEASED,2018-03-11,FALSE,Catholic,NA,B41,TRUE,Smith
Amberly,Bleasdale,782-53-8667,Female,Sector 19,87,2018-03-11,Research Assistant II,ALIVE,NA,FALSE,Protestant,CHCKN,C29,FALSE,Smith
Erek,Togher,382-73-7706,Male,Sector 19,49,2018-03-11,Quality Engineer,ALIVE,NA,FALSE,Protestant,CHCKN,B24,FALSE,Lee
Blanche,Terran,457-90-4314,Female,Sector 19,96,2018-03-11,Assistant Manager,ALIVE,NA,FALSE,Muslim,VEG,A31,FALSE,Ouyuki
Marieann,Fearey,333-40-4190,Female,Sector 19,19,2018-03-11,Cost Accountant,DECEASED,2018-03-11,FALSE,Jewish,VEG,B11,FALSE,Ouyuki
Lura,McClaughlin,869-90-7974,Female,Sector 19,7,2018-03-11,NA,DECEASED,2018-03-12,FALSE,NA,NA,B50,TRUE,Ouyuki
Pamella,Rennock,893-47-9432,Female,Sector 19,69,2018-03-11,Programmer Analyst III,ALIVE,NA,FALSE,Protestant,CHCKN,B36,FALSE,Sanders
Otto,McShee,557-76-1766,Male,Sector 19,20,2018-03-11,Data Coordiator,ALIVE,NA,FALSE,NA,NA,A28,FALSE,White
Arnoldo,Ebertz,650-73-7912,Male,Sector 19,64,2018-03-11,Engineer II,ALIVE,NA,FALSE,Muslim,NA,B20,FALSE,Ouyuki
Carlin,Schooley,756-34-0815,Male,Sector 19,48,2018-03-11,Engineer I,ALIVE,NA,FALSE,Other,VEG,D27,FALSE,Ouyuki
Staci,Eliez,622-35-7570,Female,Sector 19,11,2018-03-11,NA,ALIVE,NA,FALSE,Other,NA,B16,FALSE,White
Melina,Bonelle,476-88-9802,Female,Sector 19,56,2018-03-11,Legal Assistant,ALIVE,NA,FALSE,NA,NA,A44,FALSE,Lee
Thebault,Whisby,178-76-5298,Male,Sector 19,38,2018-03-11,Structural Analysis Engineer,ALIVE,NA,FALSE,Muslim,CHCKN,A40,FALSE,Lee
Ray,Ives,881-21-9087,Female,Sector 19,3,2018-03-11,NA,DECEASED,2018-03-13,TRUE,Muslim,VEG,B46,TRUE,White
Madelina,Carlo,290-31-2389,Female,Sector 19,33,2018-03-11,Statistician III,DECEASED,2018-03-11,FALSE,Other,VEG,B22,FALSE,Ouyuki
Jacqueline,Bickford,425-38-2403,Female,Sector 19,28,2018-03-11,Professor,DECEASED,2018-03-12,FALSE,Protestant,NA,D19,FALSE,Lee
Roxane,Deroche,114-43-1495,Female,Sector 19,4,2018-03-11,NA,ALIVE,NA,FALSE,Catholic,NA,A26,TRUE,Sanders
Willamina,Sokill,751-33-7386,Female,Sector 19,94,2018-03-11,Engineer III,ALIVE,NA,FALSE,Other,NA,A36,FALSE,Smith
Helena,Cloake,489-12-1085,Female,Sector 19,42,2018-03-11,Civil Engineer,DECEASED,2018-03-13,FALSE,Protestant,CHCKN,A19,FALSE,Pan
Hyacinthe,Bowering,683-76-9069,Female,Sector 19,74,2018-03-11,Engineer IV,DECEASED,2018-03-12,FALSE,Protestant,NA,D36,FALSE,Lee
Nert,Cromb,770-50-3997,Female,Sector 19,33,2018-03-11,Dental Hygienist,DECEASED,2018-03-11,FALSE,NA,NA,A33,FALSE,Smith
Alejoa,Way,331-53-1349,Male,Sector 19,54,2018-03-11,Nurse,ALIVE,NA,FALSE,Muslim,NA,C44,FALSE,Smith
Lucian,Densumbe,234-89-3874,Male,Sector 19,59,2018-03-11,Analyst Programmer,ALIVE,NA,FALSE,Jewish,CHCKN,C49,FALSE,Lee
Rhea,Mosdill,106-47-1416,Female,Sector 19,62,2018-03-11,Social Worker,DECEASED,2018-03-14,FALSE,Protestant,VEG,D8,FALSE,Lee
Irvine,Jerwood,153-46-5655,Male,Sector 19,35,2018-03-11,Engineer III,DECEASED,2018-03-13,FALSE,Muslim,VEG,D28,FALSE,Pan
Jamesy,McQuillin,757-09-4759,Male,Sector 19,50,2018-03-11,Software Engineer II,DECEASED,2018-03-11,FALSE,Jewish,CHCKN,B49,FALSE,Ouyuki
Dunn,Pack,267-94-1049,Male,Sector 19,22,2018-03-11,Account Representative IV,ALIVE,NA,FALSE,Jewish,NA,B23,FALSE,Pan
Wilmar,Corradino,531-90-6158,Male,Sector 19,46,2018-03-11,Data Coordiator,DECEASED,2018-03-14,FALSE,Jewish,NA,A45,FALSE,Pan
Papagena,Soames,242-87-4879,Female,Sector 19,10,2018-03-11,NA,DECEASED,2018-03-11,FALSE,NA,NA,D50,TRUE,White
Marita,Merigeau,439-66-4156,Female,Sector 19,14,2018-03-11,NA,DECEASED,2018-03-13,FALSE,Muslim,NA,B4,TRUE,Lee
Joli,Cuttle,859-21-1940,Female,Sector 19,89,2018-03-11,Account Coordinator,DECEASED,2018-03-12,FALSE,Jewish,CHCKN,A26,FALSE,Ouyuki
Jake,Millsom,794-54-4413,Male,Sector 19,72,2018-03-11,Tax Accountant,ALIVE,NA,FALSE,Other,VEG,C37,FALSE,Pan
Gabriell,Potts,133-08-4202,Female,Sector 19,83,2018-03-11,Quality Engineer,ALIVE,NA,FALSE,Catholic,VEG,A29,FALSE,Ouyuki
Bing,Ert,138-36-5939,Male,Sector 19,16,2018-03-11,NA,DECEASED,2018-03-14,TRUE,Catholic,CHCKN,C43,TRUE,White
Shayla,Budik,479-62-1467,Female,Sector 19,73,2018-03-11,Analog Circuit Design manager,ALIVE,NA,FALSE,NA,NA,B24,FALSE,White
Kelvin,Blackater,648-47-0713,Male,Sector 19,69,2018-03-11,Librarian,DECEASED,2018-03-12,FALSE,NA,VEG,B12,FALSE,Smith
Zolly,Rawlence,330-13-6609,Male,Sector 19,64,2018-03-11,Account Executive,DECEASED,2018-03-14,FALSE,Muslim,VEG,D9,FALSE,Lee
Timothee,Gifford,233-25-3583,Male,Sector 19,36,2018-03-11,Executive Secretary,ALIVE,NA,FALSE,NA,VEG,D17,FALSE,Pan
Bobbe,Mawford,740-61-6781,Female,Sector 19,78,2018-03-11,VP Marketing,DECEASED,2018-03-11,FALSE,Jewish,VEG,C6,FALSE,Pan
Natale,Winram,758-06-4738,Male,Sector 19,9,2018-03-11,NA,ALIVE,NA,FALSE,Other,VEG,B15,TRUE,White
Abbie,Licari,662-40-0369,Female,Sector 19,13,2018-03-11,NA,ALIVE,NA,FALSE,Other,VEG,D37,FALSE,Ouyuki
Chiquita,Jancey,238-34-2122,Female,Sector 19,62,2018-03-11,Account Coordinator,DECEASED,2018-03-14,FALSE,NA,CHCKN,A32,FALSE,Sanders
Ofella,O'Concannon,264-68-7651,Female,Sector 19,48,2018-03-11,Assistant Professor,DECEASED,2018-03-11,FALSE,Jewish,NA,C4,FALSE,Smith
Annnora,Atack,877-87-5015,Female,Sector 19,95,2018-03-11,Geologist III,ALIVE,NA,FALSE,Catholic,VEG,C15,FALSE,Sanders
Robbin,Nunan,192-12-4920,Female,Sector 19,90,2018-03-11,VP Product Management,ALIVE,NA,FALSE,Muslim,VEG,D7,FALSE,Pan
Nevsa,Junkison,281-90-8964,Female,Sector 19,64,2018-03-11,Accountant IV,ALIVE,NA,FALSE,Catholic,NA,A2,FALSE,White
Darb,Rampage,776-06-7016,Male,Sector 19,39,2018-03-11,Data Coordiator,ALIVE,NA,FALSE,NA,NA,B31,FALSE,Smith
Grannie,Ianelli,780-36-8025,Male,Sector 19,64,2018-03-11,Human Resources Manager,DECEASED,2018-03-11,FALSE,Catholic,CHCKN,B10,FALSE,Sanders
Kaitlyn,Coats,657-16-9578,Female,Sector 19,93,2018-03-11,Biostatistician IV,ALIVE,NA,FALSE,Jewish,NA,B4,FALSE,Lee
Lulita,Osant,871-25-6885,Female,Sector 19,87,2018-03-11,Occupational Therapist,DECEASED,2018-03-12,FALSE,Other,NA,C27,FALSE,Ouyuki
Shepherd,Roddell,704-67-7553,Male,Sector 19,63,2018-03-11,Senior Developer,ALIVE,NA,FALSE,Protestant,VEG,C38,FALSE,Ouyuki
Reta,O' Brian,546-38-1131,Female,Sector 19,44,2018-03-11,Analog Circuit Design manager,DECEASED,2018-03-11,FALSE,Protestant,VEG,D31,FALSE,Smith
Zorana,Friar,313-01-7645,Female,Sector 19,75,2018-03-11,Legal Assistant,ALIVE,NA,FALSE,NA,CHCKN,C8,FALSE,Smith
Erinn,Dyche,850-70-3056,Female,Sector 19,52,2018-03-11,Quality Engineer,DECEASED,2018-03-11,FALSE,Muslim,CHCKN,C15,FALSE,Ouyuki
Jourdain,Biaggetti,159-02-7879,Male,Sector 19,80,2018-03-12,Software Test Engineer IV,ALIVE,NA,FALSE,NA,CHCKN,A3,FALSE,Smith
Ludwig,Winley,894-86-6565,Male,Sector 19,23,2018-03-12,Analog Circuit Design manager,ALIVE,NA,FALSE,Jewish,CHCKN,B27,FALSE,Smith
Basile,Davenall,673-07-9786,Male,Sector 19,13,2018-03-12,NA,DECEASED,2018-03-14,TRUE,Catholic,NA,A7,TRUE,Ouyuki
Beatrix,Menzies,456-98-4577,Female,Sector 20,64,2018-03-10,Graphic Designer,DECEASED,2018-03-11,FALSE,Protestant,VEG,C43,FALSE,Smith
Almeda,Barr,670-20-0685,Female,Sector 20,1,2018-03-10,NA,DECEASED,2018-03-10,TRUE,Muslim,VEG,B35,TRUE,Lee
Flem,Finder,168-74-5661,Male,Sector 20,4,2018-03-10,NA,ALIVE,NA,TRUE,NA,CHCKN,D37,TRUE,Smith
Boycey,Pordall,647-43-4781,Male,Sector 20,27,2018-03-10,Cost Accountant,ALIVE,NA,FALSE,NA,NA,A42,FALSE,Lee
Odo,Sweatland,617-03-7731,Male,Sector 20,57,2018-03-10,Structural Analysis Engineer,ALIVE,NA,FALSE,Protestant,VEG,D6,FALSE,Ouyuki
Lorraine,Rollett,701-55-8883,Female,Sector 20,63,2018-03-10,Paralegal,DECEASED,2018-03-10,FALSE,Muslim,VEG,D48,FALSE,Smith
Howie,Simeonov,354-60-0312,Male,Sector 20,74,2018-03-10,VP Product Management,DECEASED,2018-03-10,FALSE,Jewish,VEG,D27,FALSE,Ouyuki
Janey,Rhule,327-31-4568,Female,Sector 20,76,2018-03-11,VP Quality Control,DECEASED,2018-03-11,FALSE,Jewish,NA,B36,FALSE,Ouyuki
Rana,Crepin,705-73-6894,Female,Sector 20,19,2018-03-11,Compensation Analyst,ALIVE,NA,FALSE,Jewish,VEG,C25,FALSE,Ouyuki
Mandel,Franiak,201-36-6174,Male,Sector 20,20,2018-03-11,GIS Technical Architect,ALIVE,NA,FALSE,Muslim,NA,A15,FALSE,Pan
Parker,Daveren,275-08-7420,Male,Sector 20,57,2018-03-11,Staff Scientist,DECEASED,2018-03-11,FALSE,Other,CHCKN,D13,FALSE,Lee
Rodie,Keig,557-60-9838,Female,Sector 20,94,2018-03-11,Chief Design Engineer,DECEASED,2018-03-13,FALSE,Jewish,CHCKN,C37,FALSE,Lee
Penny,Silliman,405-33-9368,Male,Sector 20,40,2018-03-11,Staff Accountant I,DECEASED,2018-03-14,FALSE,Catholic,VEG,D15,FALSE,Smith
Foss,Clewer,269-92-8414,Male,Sector 20,1,2018-03-11,NA,DECEASED,2018-03-11,FALSE,Other,VEG,C19,FALSE,Ouyuki
Maybelle,Fishpool,172-15-0880,Female,Sector 20,20,2018-03-11,Financial Analyst,ALIVE,NA,FALSE,Jewish,NA,C35,FALSE,Pan
Sauncho,Raden,342-49-2232,Male,Sector 20,23,2018-03-11,Assistant Professor,ALIVE,NA,FALSE,Catholic,NA,D19,FALSE,White
Olva,Heintz,862-67-7619,Female,Sector 20,17,2018-03-11,NA,DECEASED,2018-03-12,FALSE,Catholic,NA,D27,FALSE,Sanders
Homere,Ive,842-98-3606,Male,Sector 20,54,2018-03-11,Human Resources Manager,DECEASED,2018-03-13,FALSE,Catholic,CHCKN,C22,FALSE,Smith
Ernie,Dumbrill,873-23-4065,Male,Sector 20,28,2018-03-11,Nuclear Power Engineer,ALIVE,NA,FALSE,Catholic,CHCKN,D12,FALSE,Lee
Perl,Cheltnam,291-65-8773,Female,Sector 20,12,2018-03-11,NA,ALIVE,NA,TRUE,Catholic,NA,C3,TRUE,White
Karee,Mace,324-17-3308,Female,Sector 20,68,2018-03-11,Help Desk Operator,DECEASED,2018-03-14,FALSE,Catholic,NA,A34,FALSE,Sanders
Wallie,Sauter,656-02-9401,Male,Sector 20,50,2018-03-11,General Manager,DECEASED,2018-03-13,FALSE,Jewish,CHCKN,D18,FALSE,Sanders
Kitty,Walkden,746-32-1260,Female,Sector 20,21,2018-03-11,Assistant Media Planner,DECEASED,2018-03-13,FALSE,NA,NA,B44,FALSE,Lee
Gilly,Germon,790-16-2978,Female,Sector 20,80,2018-03-11,Desktop Support Technician,DECEASED,2018-03-11,FALSE,Muslim,NA,C11,FALSE,Pan
Gerladina,Pleming,459-13-9293,Female,Sector 20,74,2018-03-11,Recruiter,DECEASED,2018-03-14,FALSE,Catholic,CHCKN,B31,FALSE,Pan
Evelina,Dufty,725-21-6405,Female,Sector 20,71,2018-03-11,Engineer II,ALIVE,NA,FALSE,Protestant,VEG,D33,FALSE,Pan
Michail,Pauli,201-14-3420,Male,Sector 20,90,2018-03-11,Accountant II,DECEASED,2018-03-11,FALSE,Other,VEG,C39,FALSE,Sanders
Stefania,Canton,637-34-0312,Female,Sector 20,85,2018-03-11,Biostatistician I,DECEASED,2018-03-13,FALSE,Catholic,VEG,D38,FALSE,Ouyuki
Yelena,Sebring,595-22-9676,Female,Sector 20,36,2018-03-11,Graphic Designer,ALIVE,NA,FALSE,NA,CHCKN,C48,FALSE,Sanders
Leighton,Trussler,712-85-5339,Male,Sector 20,77,2018-03-11,Assistant Manager,ALIVE,NA,FALSE,Muslim,NA,B12,FALSE,Ouyuki
Jarrad,Fairlie,598-75-1243,Male,Sector 20,76,2018-03-11,Marketing Assistant,DECEASED,2018-03-13,FALSE,Catholic,VEG,B14,FALSE,Lee
Selene,Arnason,838-69-5147,Female,Sector 20,43,2018-03-11,Account Executive,ALIVE,NA,FALSE,Other,NA,A44,FALSE,Smith
Modesta,Matschoss,333-25-8095,Female,Sector 20,24,2018-03-11,Account Executive,ALIVE,NA,FALSE,Jewish,VEG,D18,FALSE,Smith
Guido,Doerling,710-87-1535,Male,Sector 20,90,2018-03-12,Assistant Professor,DECEASED,2018-03-14,FALSE,Jewish,CHCKN,B30,FALSE,Ouyuki
Else,Varnals,284-91-2511,Female,Sector 20,83,2018-03-12,VP Product Management,ALIVE,NA,FALSE,Catholic,VEG,D11,FALSE,Smith
Waverly,Brimicombe,575-74-4724,Male,Sector 20,18,2018-03-12,NA,ALIVE,NA,FALSE,Jewish,CHCKN,C14,TRUE,Pan
Rosabelle,Giovannardi,594-74-2753,Female,Sector 20,45,2018-03-12,Project Manager,ALIVE,NA,FALSE,Catholic,VEG,C45,FALSE,Smith
Gayle,Osant,582-24-0167,Female,Sector 20,87,2018-03-12,Geological Engineer,ALIVE,NA,FALSE,Other,VEG,D26,FALSE,Pan
Bancroft,Deal,723-18-4430,Male,Sector 20,59,2018-03-12,VP Accounting,ALIVE,NA,FALSE,Muslim,NA,B26,FALSE,White
Erskine,Limon,740-61-0366,Male,Sector 21,54,2018-03-06,Executive Secretary,DECEASED,2018-03-07,FALSE,Jewish,CHCKN,D15,FALSE,Ouyuki
Brander,Gammett,829-39-2470,Male,Sector 21,78,2018-03-06,Quality Engineer,DECEASED,2018-03-08,FALSE,Catholic,CHCKN,B7,FALSE,Smith
Allen,Dorot,886-78-8751,Male,Sector 21,21,2018-03-07,Recruiter,DECEASED,2018-03-10,FALSE,Muslim,VEG,D50,FALSE,Ouyuki
Flossi,Bouzan,830-10-5077,Female,Sector 21,77,2018-03-07,Technical Writer,DECEASED,2018-03-08,FALSE,NA,VEG,D13,FALSE,Pan
Gabriele,Vasyukhin,268-86-7618,Male,Sector 21,71,2018-03-07,Tax Accountant,DECEASED,2018-03-09,FALSE,Catholic,VEG,B10,FALSE,White
Kermy,Stockow,218-24-0955,Male,Sector 21,15,2018-03-07,NA,DECEASED,2018-03-07,FALSE,Catholic,NA,B41,FALSE,Smith
Maia,Matyja,700-05-2091,Female,Sector 21,2,2018-03-07,NA,DECEASED,2018-03-07,FALSE,Other,CHCKN,D18,TRUE,Ouyuki
Frederik,Deelay,811-54-3426,Male,Sector 21,57,2018-03-07,Administrative Officer,ALIVE,NA,FALSE,Protestant,CHCKN,D21,FALSE,White
Lay,Galbreath,452-49-9798,Male,Sector 21,88,2018-03-07,Marketing Manager,ALIVE,NA,FALSE,NA,NA,A4,FALSE,Lee
Melodee,Sykes,849-32-9882,Female,Sector 21,17,2018-03-08,NA,ALIVE,NA,FALSE,NA,NA,A37,TRUE,White
Deeyn,Sandercock,700-26-8645,Female,Sector 21,14,2018-03-08,NA,DECEASED,2018-03-09,TRUE,Jewish,VEG,A34,TRUE,Lee
Ynes,Decourcy,194-17-7828,Female,Sector 21,66,2018-03-08,Administrative Assistant III,DECEASED,2018-03-08,FALSE,Other,VEG,D23,FALSE,White
Corissa,Skirven,394-42-8888,Female,Sector 21,15,2018-03-08,NA,ALIVE,NA,TRUE,Jewish,CHCKN,B25,TRUE,Smith
Bab,Ffrench,292-39-9535,Female,Sector 21,96,2018-03-08,Editor,DECEASED,2018-03-08,FALSE,Protestant,CHCKN,C44,FALSE,White
Micah,Warlton,235-98-0388,Male,Sector 21,43,2018-03-08,Clinical Specialist,ALIVE,NA,FALSE,Jewish,VEG,D18,FALSE,Sanders
Richard,Sandeland,206-19-9302,Male,Sector 21,43,2018-03-08,Budget/Accounting Analyst III,ALIVE,NA,FALSE,Protestant,NA,C22,FALSE,Pan
Allister,Nassie,807-33-9062,Male,Sector 21,4,2018-03-08,NA,DECEASED,2018-03-10,TRUE,Other,CHCKN,C44,TRUE,Lee
Maren,Dudliston,645-26-8435,Female,Sector 21,73,2018-03-08,Recruiter,DECEASED,2018-03-08,FALSE,NA,NA,D47,FALSE,Sanders
Jehu,Alberti,333-46-5099,Male,Sector 21,3,2018-03-08,NA,DECEASED,2018-03-10,FALSE,Muslim,CHCKN,A4,FALSE,Sanders
Dick,Kliemchen,341-20-5170,Male,Sector 21,54,2018-03-08,Database Administrator II,ALIVE,NA,FALSE,Catholic,CHCKN,D32,FALSE,Ouyuki
Zonnya,Backsal,620-09-2292,Female,Sector 21,58,2018-03-08,Marketing Assistant,ALIVE,NA,FALSE,Muslim,VEG,C8,FALSE,Smith
Elfie,Pinnion,833-56-7404,Female,Sector 21,77,2018-03-08,Structural Engineer,ALIVE,NA,FALSE,Other,CHCKN,C18,FALSE,Ouyuki
Ira,O'dell,543-57-3433,Male,Sector 21,6,2018-03-08,NA,DECEASED,2018-03-10,TRUE,Catholic,CHCKN,D36,FALSE,Lee
Blinnie,Kealy,613-04-8101,Female,Sector 21,22,2018-03-08,Occupational Therapist,DECEASED,2018-03-09,FALSE,Other,NA,B27,FALSE,Lee
Loretta,Warlock,153-29-8928,Female,Sector 21,89,2018-03-08,Programmer Analyst IV,DECEASED,2018-03-08,FALSE,Protestant,CHCKN,D8,FALSE,White
Orton,Godbold,699-85-6473,Male,Sector 21,40,2018-03-08,Human Resources Manager,ALIVE,NA,FALSE,Protestant,CHCKN,D47,FALSE,Ouyuki
Hermione,Albutt,515-76-0840,Female,Sector 21,76,2018-03-08,Quality Engineer,DECEASED,2018-03-09,FALSE,NA,NA,D47,FALSE,Sanders
Cameron,Mottini,485-52-4996,Male,Sector 21,25,2018-03-09,Food Chemist,ALIVE,NA,FALSE,Jewish,VEG,A27,FALSE,Lee
Gwennie,Ors,194-16-5715,Female,Sector 21,71,2018-03-09,Geologist I,ALIVE,NA,FALSE,Other,NA,A8,FALSE,Smith
Dulciana,Matteau,150-87-9865,Female,Sector 21,76,2018-03-09,VP Sales,DECEASED,2018-03-10,FALSE,NA,NA,D34,FALSE,Sanders
Millard,Defew,643-02-1738,Male,Sector 21,80,2018-03-09,Data Coordiator,DECEASED,2018-03-12,FALSE,Other,NA,B27,FALSE,Ouyuki
Othelia,Gavrielli,251-70-9064,Female,Sector 21,52,2018-03-09,Research Assistant I,ALIVE,NA,FALSE,NA,CHCKN,B49,FALSE,White
Waite,Lake,322-68-0093,Male,Sector 21,27,2018-03-09,Human Resources Assistant IV,DECEASED,2018-03-10,FALSE,Jewish,NA,A45,FALSE,Sanders
Ahmed,Hugnet,787-63-2971,Male,Sector 21,40,2018-03-09,Help Desk Operator,ALIVE,NA,FALSE,Catholic,CHCKN,C8,FALSE,Ouyuki
Skylar,MacTrustam,499-44-4410,Male,Sector 21,60,2018-03-09,Research Associate,DECEASED,2018-03-09,FALSE,Jewish,CHCKN,C32,FALSE,Sanders
Gaynor,Teresi,264-41-5767,Female,Sector 21,47,2018-03-09,Programmer I,ALIVE,NA,FALSE,Jewish,CHCKN,C47,FALSE,Ouyuki
Teddie,Aldham,567-22-3908,Male,Sector 21,79,2018-03-09,Staff Scientist,ALIVE,NA,FALSE,Other,VEG,A15,FALSE,Pan
Tish,Walkden,751-85-9101,Female,Sector 21,14,2018-03-09,NA,DECEASED,2018-03-12,FALSE,Protestant,CHCKN,A23,TRUE,Ouyuki
Luella,Blunderfield,689-49-5904,Female,Sector 21,42,2018-03-09,Media Manager III,DECEASED,2018-03-12,FALSE,Muslim,NA,C11,FALSE,White
Hale,Frentz,265-05-5489,Male,Sector 21,6,2018-03-09,NA,ALIVE,NA,FALSE,Catholic,NA,A28,TRUE,White
Janina,Thredder,362-49-2520,Female,Sector 21,9,2018-03-09,NA,ALIVE,NA,FALSE,NA,CHCKN,A30,TRUE,Pan
Hadria,Gladman,570-79-2597,Female,Sector 21,82,2018-03-09,Executive Secretary,ALIVE,NA,FALSE,Protestant,CHCKN,A45,FALSE,Smith
Cash,Goschalk,695-51-4293,Male,Sector 21,52,2018-03-09,Senior Cost Accountant,DECEASED,2018-03-09,FALSE,Catholic,VEG,A22,FALSE,Pan
Bard,Skilton,747-83-4961,Male,Sector 21,64,2018-03-09,Research Assistant II,DECEASED,2018-03-10,FALSE,Protestant,CHCKN,D17,FALSE,Sanders
Oran,Gerner,173-39-2824,Male,Sector 21,10,2018-03-09,NA,DECEASED,2018-03-09,TRUE,Catholic,CHCKN,D25,TRUE,Sanders
Fancie,Scholler,814-92-5488,Female,Sector 21,56,2018-03-09,VP Sales,DECEASED,2018-03-11,FALSE,Catholic,NA,A23,FALSE,Lee
Gilberto,Seally,312-04-2082,Male,Sector 21,39,2018-03-09,VP Quality Control,ALIVE,NA,FALSE,Protestant,CHCKN,D1,FALSE,Smith
Dorri,Heims,421-13-6457,Female,Sector 21,46,2018-03-09,Senior Cost Accountant,ALIVE,NA,FALSE,Catholic,NA,B2,FALSE,Ouyuki
Broderick,Abatelli,104-62-6951,Male,Sector 21,41,2018-03-09,Account Executive,DECEASED,2018-03-11,FALSE,Protestant,CHCKN,C13,FALSE,Sanders
Garrek,Tidbald,479-82-6284,Male,Sector 21,92,2018-03-09,VP Quality Control,ALIVE,NA,FALSE,Catholic,CHCKN,A40,FALSE,Pan
Florri,Meader,314-82-3228,Female,Sector 21,58,2018-03-09,Junior Executive,DECEASED,2018-03-10,FALSE,Muslim,CHCKN,C43,FALSE,Lee
April,McNeigh,482-14-6573,Female,Sector 21,86,2018-03-09,Operator,DECEASED,2018-03-12,FALSE,NA,NA,A30,FALSE,Smith
Findlay,Buxsey,259-86-4521,Male,Sector 21,95,2018-03-09,Accounting Assistant III,ALIVE,NA,FALSE,Catholic,NA,C50,FALSE,Pan
Obadiah,Skull,174-02-3650,Male,Sector 21,62,2018-03-09,Dental Hygienist,ALIVE,NA,FALSE,Jewish,NA,B9,FALSE,Ouyuki
Kitty,Antonognoli,535-79-0054,Female,Sector 21,50,2018-03-09,Professor,ALIVE,NA,FALSE,Muslim,VEG,C3,FALSE,Lee
Zaneta,Roget,223-36-3044,Female,Sector 21,4,2018-03-09,NA,ALIVE,NA,TRUE,Other,VEG,C43,FALSE,Ouyuki
Britteny,Owtram,768-14-8160,Female,Sector 21,83,2018-03-10,Research Assistant II,ALIVE,NA,FALSE,Jewish,VEG,A12,FALSE,Lee
Odell,Maryska,425-87-1778,Male,Sector 21,90,2018-03-10,Senior Cost Accountant,DECEASED,2018-03-10,FALSE,NA,CHCKN,D11,FALSE,Sanders
Raimund,Stockwell,879-43-0210,Male,Sector 21,58,2018-03-10,Software Consultant,DECEASED,2018-03-10,FALSE,Other,NA,B24,FALSE,Ouyuki
Cammy,Stracey,168-14-0981,Female,Sector 21,41,2018-03-10,Editor,DECEASED,2018-03-11,FALSE,Other,CHCKN,C6,FALSE,Lee
Iolande,Byham,663-89-4300,Female,Sector 21,2,2018-03-10,NA,DECEASED,2018-03-11,FALSE,Jewish,CHCKN,A11,FALSE,Smith
Billy,Cressingham,164-36-5315,Male,Sector 21,56,2018-03-10,Staff Scientist,ALIVE,NA,FALSE,Jewish,CHCKN,B32,FALSE,Lee
